entityId;key;ts;value;datetime
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758808146493;7597;2025-09-25 15:49:06.493000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758807542216;8648;2025-09-25 15:39:02.216000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758806937895;8759;2025-09-25 15:28:57.895000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758806333621;8414;2025-09-25 15:18:53.621000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758805729307;11169;2025-09-25 15:08:49.307000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758805125016;13157;2025-09-25 14:58:45.016000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758804520754;13788;2025-09-25 14:48:40.754000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758803916461;11040;2025-09-25 14:38:36.461000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758803312146;16192;2025-09-25 14:28:32.146000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758802707886;15872;2025-09-25 14:18:27.886000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758802103486;14247;2025-09-25 14:08:23.486000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758801499218;17723;2025-09-25 13:58:19.218000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758800903002;15488;2025-09-25 13:48:23.002000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758800879760;15488;2025-09-25 13:47:59.760000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758800275478;18540;2025-09-25 13:37:55.478000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758799671195;17962;2025-09-25 13:27:51.195000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758799066889;12153;2025-09-25 13:17:46.889000+02:00
cb45a700-fa97-11ef-9d11-f54d6a2753bf;lightIntensity;1758798462630;11907;2025-09-25 13:07:42.630000+02:00
