entityId;key;ts;value;datetime
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758807694440;25;2025-09-25 15:41:34.440000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758805294797;24.8;2025-09-25 15:01:34.797000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758804095057;24.8;2025-09-25 14:41:35.057000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758802895269;25;2025-09-25 14:21:35.269000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758801695503;25;2025-09-25 14:01:35.503000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758800495698;24.6;2025-09-25 13:41:35.698000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758799295918;24.8;2025-09-25 13:21:35.918000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758798096144;24.7;2025-09-25 13:01:36.144000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758796896373;25;2025-09-25 12:41:36.373000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758795696570;24.8;2025-09-25 12:21:36.570000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758794496795;24.5;2025-09-25 12:01:36.795000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758793297023;24.6;2025-09-25 11:41:37.023000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758792097237;24.4;2025-09-25 11:21:37.237000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758790897459;24.7;2025-09-25 11:01:37.459000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758789697682;24.8;2025-09-25 10:41:37.682000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758788497889;24.8;2025-09-25 10:21:37.889000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758787298129;25;2025-09-25 10:01:38.129000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758786098350;25;2025-09-25 09:41:38.350000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1758784898562;24.6;2025-09-25 09:21:38.562000+02:00
