entityId;key;ts;value;datetime
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758808206792;23.6;2025-09-25 15:50:06.792000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758807006868;23.5;2025-09-25 15:30:06.868000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758805806930;23.4;2025-09-25 15:10:06.930000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758804606989;23.5;2025-09-25 14:50:06.989000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758803407057;23.4;2025-09-25 14:30:07.057000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758802207119;23.3;2025-09-25 14:10:07.119000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758801007180;23.4;2025-09-25 13:50:07.180000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758799807244;23.3;2025-09-25 13:30:07.244000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758798607295;23.3;2025-09-25 13:10:07.295000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758797407371;23.4;2025-09-25 12:50:07.371000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758796207434;23.3;2025-09-25 12:30:07.434000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758795007501;23.3;2025-09-25 12:10:07.501000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758793807561;23.2;2025-09-25 11:50:07.561000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758792607589;23.2;2025-09-25 11:30:07.589000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758791407703;23.3;2025-09-25 11:10:07.703000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758790207719;23.3;2025-09-25 10:50:07.719000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758789007790;23.3;2025-09-25 10:30:07.790000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758787807829;23.2;2025-09-25 10:10:07.829000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758786607914;23.3;2025-09-25 09:50:07.914000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758785407984;23.2;2025-09-25 09:30:07.984000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758784208054;23.2;2025-09-25 09:10:08.054000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758783008108;23.1;2025-09-25 08:50:08.108000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758781808177;23.4;2025-09-25 08:30:08.177000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758780608229;23.4;2025-09-25 08:10:08.229000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758779408306;23.5;2025-09-25 07:50:08.306000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758778208336;23.3;2025-09-25 07:30:08.336000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758777008434;23.4;2025-09-25 07:10:08.434000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758775808481;23.4;2025-09-25 06:50:08.481000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758774608533;23.4;2025-09-25 06:30:08.533000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758773408602;23.7;2025-09-25 06:10:08.602000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758772208652;23.6;2025-09-25 05:50:08.652000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758771008709;23.4;2025-09-25 05:30:08.709000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758769808771;23.5;2025-09-25 05:10:08.771000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758768608833;23.4;2025-09-25 04:50:08.833000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758767408872;23.4;2025-09-25 04:30:08.872000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758766208956;23.6;2025-09-25 04:10:08.956000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758765008983;23.5;2025-09-25 03:50:08.983000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758763809078;23.5;2025-09-25 03:30:09.078000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758762609140;23.5;2025-09-25 03:10:09.140000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758761409194;23.5;2025-09-25 02:50:09.194000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1758760209186;23.7;2025-09-25 02:30:09.186000+02:00
