entityId;key;ts;value;datetime
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759196986445;24.6;2025-09-30 03:49:46.445000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759195786376;24.6;2025-09-30 03:29:46.376000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759194586538;24.7;2025-09-30 03:09:46.538000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759193386583;24.7;2025-09-30 02:49:46.583000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759192186632;24.8;2025-09-30 02:29:46.632000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759190986700;24.7;2025-09-30 02:09:46.700000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759189786778;24.7;2025-09-30 01:49:46.778000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759188586815;24.9;2025-09-30 01:29:46.815000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759187386868;24.9;2025-09-30 01:09:46.868000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759186186958;24.9;2025-09-30 00:49:46.958000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759184987020;24.9;2025-09-30 00:29:47.020000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;temperature;1759183787083;24.9;2025-09-30 00:09:47.083000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759253383375;70.5;2025-09-30 19:29:43.375000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759252183421;72.5;2025-09-30 19:09:43.421000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759250983491;70.5;2025-09-30 18:49:43.491000+02:00
f99dddb0-ffde-11ef-9545-f1c19ab288c3;relativeHumidity;1759249783546;70.1;2025-09-30 18:29:43.546000+02:00
