entityId;key;ts;value;datetime
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759254012509;31.6;2025-09-30 19:40:12.509000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759252812704;31.6;2025-09-30 19:20:12.704000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759251612934;31.5;2025-09-30 19:00:12.934000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759250413149;31.5;2025-09-30 18:40:13.149000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759249213379;31.6;2025-09-30 18:20:13.379000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759248013575;31.6;2025-09-30 18:00:13.575000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759246813829;31.5;2025-09-30 17:40:13.829000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759245614069;31;2025-09-30 17:20:14.069000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759244414275;30.6;2025-09-30 17:00:14.275000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759243214512;30;2025-09-30 16:40:14.512000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759242014726;28.8;2025-09-30 16:20:14.726000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759240814918;25.8;2025-09-30 16:00:14.918000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759239615126;25.8;2025-09-30 15:40:15.126000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759238415357;25.8;2025-09-30 15:20:15.357000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759237215622;25.8;2025-09-30 15:00:15.622000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759236015827;25.6;2025-09-30 14:40:15.827000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759234816036;25.3;2025-09-30 14:20:16.036000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759233616663;25;2025-09-30 14:00:16.663000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759232416504;25;2025-09-30 13:40:16.504000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759231216714;24.8;2025-09-30 13:20:16.714000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759230016927;24.9;2025-09-30 13:00:16.927000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759228817152;24.7;2025-09-30 12:40:17.152000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759227617409;24.6;2025-09-30 12:20:17.409000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759226417593;24.8;2025-09-30 12:00:17.593000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759225217816;24.6;2025-09-30 11:40:17.816000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759224018070;24.6;2025-09-30 11:20:18.070000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759222818261;24.5;2025-09-30 11:00:18.261000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759221618508;24.6;2025-09-30 10:40:18.508000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759220418709;24.6;2025-09-30 10:20:18.709000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759219218929;24.2;2025-09-30 10:00:18.929000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759218019155;24.6;2025-09-30 09:40:19.155000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759216819399;24.4;2025-09-30 09:20:19.399000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759215619600;24.1;2025-09-30 09:00:19.600000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759213220008;24.2;2025-09-30 08:20:20.008000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759212020213;24.1;2025-09-30 08:00:20.213000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759210820491;24.1;2025-09-30 07:40:20.491000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759209620672;24.5;2025-09-30 07:20:20.672000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759208420892;24.2;2025-09-30 07:00:20.892000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759207221146;24.3;2025-09-30 06:40:21.146000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759206021342;24.3;2025-09-30 06:20:21.342000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759204821560;24.5;2025-09-30 06:00:21.560000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759203621776;24.5;2025-09-30 05:40:21.776000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759202422036;24.6;2025-09-30 05:20:22.036000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759201222238;24.6;2025-09-30 05:00:22.238000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759200022461;24.5;2025-09-30 04:40:22.461000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759198822684;24.8;2025-09-30 04:20:22.684000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759197622971;25.1;2025-09-30 04:00:22.971000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759196423111;24.8;2025-09-30 03:40:23.111000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759195223345;25;2025-09-30 03:20:23.345000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759194023522;25.3;2025-09-30 03:00:23.522000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759192823760;25.5;2025-09-30 02:40:23.760000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759191624016;25.5;2025-09-30 02:20:24.016000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759190424198;25.5;2025-09-30 02:00:24.198000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759188024594;25.6;2025-09-30 01:20:24.594000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759186824868;25.8;2025-09-30 01:00:24.868000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759185625084;26;2025-09-30 00:40:25.084000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759184425318;25.8;2025-09-30 00:20:25.318000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC1;1759183225525;25.9;2025-09-30 00:00:25.525000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC2;1759254012509;20.7;2025-09-30 19:40:12.509000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC2;1759252812704;20.8;2025-09-30 19:20:12.704000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC2;1759251612934;20.8;2025-09-30 19:00:12.934000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC2;1759250413149;20.8;2025-09-30 18:40:13.149000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC2;1759249213379;20.9;2025-09-30 18:20:13.379000+02:00
6fe2a6f0-2fe0-11f0-ae5e-8797afde61b2;tempC2;1759248013575;21;2025-09-30 18:00:13.575000+02:00
